scenario id,scenario start time (P[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]),elapsed (hours),ENV:OUT(0) => chiller:IN(1) (kW),chiller:OUT(0) => cooling_load:IN(0) (kW),chiller:OUT(1) => WASTE:IN(0) (kW),utility_electricity:OUT(0) => chiller:IN(0) (kW),REQUEST:ENV:OUT(0) => chiller:IN(1) (kW),REQUEST:chiller:OUT(0) => cooling_load:IN(0) (kW),REQUEST:chiller:OUT(1) => WASTE:IN(0) (kW),REQUEST:utility_electricity:OUT(0) => chiller:IN(0) (kW),AVAILABLE:ENV:OUT(0) => chiller:IN(1) (kW),AVAILABLE:chiller:OUT(0) => cooling_load:IN(0) (kW),AVAILABLE:chiller:OUT(1) => WASTE:IN(0) (kW),AVAILABLE:utility_electricity:OUT(0) => chiller:IN(0) (kW),op-state: chiller,op-state: cooling_load,op-state: utility_electricity
blue_sky,P0000-00-00T00:00:00,0,40,50,0,10,40,50,0,10,40,4294967,0,4294967,available,available,available
blue_sky,P0000-00-00T00:00:00,0.00138889,120,150,0,30,120,150,0,30,120,4294967,0,4294967,available,available,available
blue_sky,P0000-00-00T00:00:00,0.00222222,20,25,0,5,20,25,0,5,20,4294967,0,4294967,available,available,available
blue_sky,P0000-00-00T00:00:00,0.00277778,0,0,0,0,0,0,0,0,0,4294967,0,4294967,available,available,available
