hours,kW
0,1205.649313
1,3607.981854
2,2575.994368
3,3118.734932
4,4950.114757
5,3116.316115
6,3559.53794
7,4729.342998
8,2364.105818
9,2701.38778
10,3722.905664
11,1659.727085
12,1685.551813
13,1370.232819
14,930.679772
15,909.382308
16,1004.354557
17,995.436676
18,1180.936454
19,1145.52151
20,1005.522738
21,1179.765535
22,1153.806677
23,1019.507384
24,1196.5587
25,1194.946213
26,1177.269524
27,1450.41762
28,1605.361383
29,1641.447443
30,2832.494207
31,3056.35367
32,2050.604943
33,2285.083539
34,2233.741156
35,2142.457112
36,2368.120755
37,2080.724381
38,2080.724381
39,2080.724381
40,2205.470265
41,1204.406409
42,791.785449
43,615.802534
44,588.895914
45,710.794616
46,625.978199
47,594.462547
48,746.721056
49,688.85847
50,661.401156
51,919.57934
52,1236.702208
53,1753.259117
54,2857.11492
55,4008.647396
56,2946.261257
57,3029.647191
58,3206.794882
59,3329.596228
60,4522.938711
61,3350.736185
62,3345.304713
63,3585.051359
64,4222.710693
65,3291.971102
66,3016.920328
67,3999.231956
68,2451.806454
69,2959.013977
70,4608.229493
71,2766.967053
72,3285.180019
73,5210.761993
74,3082.269011
75,3529.271994
76,5400.879315
77,3153.222642
78,6265.912223
79,7815.043097
80,6143.22675
81,6199.419496
82,5875.67096
83,5914.176075
84,7635.052115
85,5999.669576
86,5929.816687
87,5910.439927
88,6141.843834
89,4317.65178
90,3977.568103
91,6144.11558
92,3733.98319
93,4485.033748
94,7001.227186
95,4445.560588
96,5066.079743
97,7557.337553
98,5330.315438
99,6241.239164
100,9466.959872
101,7203.70884
102,12552.59171
103,14090.254297
104,11339.139194
105,11338.704053
106,10791.500594
107,10608.558564
108,12349.675631
109,10303.672173
110,10538.841804
111,11541.417552
112,13415.529453
113,11228.046374
114,11952.071225
115,16857.013016
116,13845.979614
117,15510.656164
118,19628.459461
119,15336.375142
120,16467.93481
121,20626.98434
122,16670.849037
123,17672.69722
124,21624.299475
125,17652.184419
126,28770.668572
127,32641.062795
128,26597.292627
129,24370.482466
130,22704.096711
131,20512.973052
132,21597.59317
133,17235.844166
134,16762.609196
135,16272.941019
136,17766.369216
137,14127.675498
138,13634.21931
139,17030.031514
140,12697.487276
141,13725.299137
142,18191.846579
143,13742.343849
144,14525.844958
145,18624.741653
146,14285.464716
147,14933.633427
148,18788.08327
149,14424.46921
150,15459.927981
151,26039.210002
152,21806.181481
153,19028.510737
154,16695.634912
155,14789.78908
156,12932.594264
157,11723.802701
158,11147.389675
159,11107.579378
160,8532.129717
161,10579.317872
162,14448.139576
163,10182.506623
164,10311.883791
165,12682.396796
166,8647.731072
167,9182.90654
168,12275.07306
169,8698.341085
170,9248.102707
171,12365.091215
172,8755.886511
173,9300.200612
174,12431.308936
175,8163.580813
176,8728.637798
177,11617.859987
178,7195.735084
179,7198.750222
180,8508.512766
181,4655.788089
182,5404.598568
183,8183.674899
184,6068.534512
185,7198.196842
186,9970.234897
187,6897.665277
188,7434.251913
189,10127.530043
190,6991.032821
191,7516.814205
192,10215.555673
193,7523.843058
194,8381.342393
195,11816.285801
196,8689.215969
197,9237.17349
198,15854.035371
199,16977.172355
200,14045.121582
201,13334.713715
202,12142.01168
203,11406.257399
204,12571.421074
205,10412.883858
206,10821.55417
207,11311.629181
208,12023.26064
209,10459.386451
210,11041.580677
211,14615.770396
212,10723.979606
213,11362.557362
214,15008.62308
215,11466.825989
216,12360.847242
217,16535.935305
218,12891.285927
219,14175.528771
220,17861.07408
221,13732.403933
222,22756.00516
223,24621.748088
224,18861.783337
225,16909.943387
226,14411.316083
227,12816.05889
228,13827.265672
229,11567.404577
230,11963.591649
231,11199.250796
232,11658.867787
233,9682.489926
234,9383.984279
235,12170.871892
236,8737.732405
237,9311.198834
238,12395.734851
239,8887.848911
240,9431.361772
241,12552.834432
242,9457.656862
243,10344.197884
244,13683.579751
245,9871.628149
246,15487.373826
247,17016.513768
248,12872.906939
249,9956.17903
250,7157.819774
251,5936.347331
252,6158.194183
253,4681.555981
254,4497.872597
255,4528.101942
256,5337.490432
257,4083.429088
258,3850.906969
259,5682.232803
260,4534.524334
261,4887.809463
262,7155.661223
263,4949.539843
264,5151.065725
265,7766.556255
266,5557.934392
267,6065.351253
268,7808.094382
269,4896.119089
270,8352.05067
271,9350.267788
272,7360.253891
273,7007.616654
274,6720.552572
275,6580.100963
276,8781.268259
277,7302.467648
278,6495.923908
279,6107.631091
280,7513.77313
281,6674.80149
282,7002.00107
283,9687.412468
284,6857.306197
285,7826.499824
286,10954.443272
287,7846.121157
288,7572.55613
289,9907.104943
290,7258.078203
291,8206.211427
292,11425.671975
293,8634.053325
294,14681.956087
295,16797.636523
296,11816.685592
297,9087.736885
298,7385.468698
299,6583.83573
300,7882.729883
301,6135.289006
302,6102.99531
303,6625.764291
304,7223.600057
305,6320.950419
306,6966.609265
307,9627.87935
308,6838.128349
309,7410.162155
310,9992.496872
311,7517.888788
312,8569.198561
313,12429.131124
314,9531.23851
315,9702.796318
316,12409.899682
317,8941.502491
318,9476.927301
319,14272.325921
320,11350.895183
321,9426.792975
322,6563.680597
323,4460.95536
324,3898.047407
325,3907.994645
326,4104.260856
327,4667.158684
328,3766.358103
329,5322.668815
330,7875.371217
331,6345.113243
332,7897.585669
333,11531.3955
334,9140.212102
335,10901.22401
336,15780.981716
337,12032.853045
338,12669.62439
339,16843.726036
340,12826.561104
341,13463.344701
342,17258.795209
343,12414.025006
344,12297.265567
345,15296.21098
346,10034.938527
347,9577.612509
348,11479.504473
349,7463.274403
350,7443.943149
351,10339.740554
352,7636.532539
353,8532.171118
354,11556.732044
355,8255.630063
356,8814.851257
357,12279.016528
358,9141.930562
359,9278.402632
360,12395.144257
361,9213.350826
362,10190.75882
363,13353.35968
364,9327.075153
365,9899.781909
366,13045.289851
367,9214.725131
368,9279.210596
369,11305.402672
370,6648.354267
371,6032.849581
372,7679.379993
373,4851.880359
374,5241.77295
375,7327.299575
376,5373.00547
377,6872.592845
378,10292.256857
379,7133.02685
380,6919.638657
381,9423.456073
382,6855.287622
383,7352.241799
384,9853.36848
385,6872.777048
386,7379.257447
387,9878.667614
388,6889.818506
389,7397.119986
390,12176.903186
391,12219.748827
392,9217.694602
393,8606.55793
394,8275.974845
395,7716.723512
396,8007.899467
397,6030.777813
398,5896.345446
399,5787.825585
400,6395.017044
401,5517.059066
402,5766.489671
403,7966.810173
404,5579.993379
405,6133.238579
406,8366.957416
407,6226.587294
408,7436.125535
409,10387.480062
410,7412.249907
411,7949.844002
412,11147.028625
413,8775.065524
414,14703.658355
415,17364.817852
416,15106.786564
417,14796.663318
418,15140.066462
419,14688.393318
420,16421.815043
421,14632.383366
422,14903.808922
423,16168.173458
424,17330.531082
425,14515.869408
426,14340.987502
427,18109.897879
428,14415.324176
429,15350.671338
430,19185.022073
431,14890.225083
432,15938.070408
433,20019.392065
434,15683.416562
435,16741.826911
436,20440.624276
437,16201.23961
438,26785.816002
439,30896.654868
440,25316.602248
441,24299.621294
442,22403.723837
443,20744.728042
444,21519.404475
445,17093.531447
446,16662.288932
447,16420.817001
448,17322.780993
449,14817.061397
450,15066.71299
451,18717.319483
452,14779.344817
453,16106.124682
454,20207.188579
455,15496.314432
456,15888.790658
457,20115.521536
458,15609.676085
459,15238.796753
460,18589.987436
461,14199.216734
462,22297.3888
463,25216.462907
464,20835.339224
465,19064.260614
466,17927.731927
467,16724.536427
468,18300.133687
469,14327.185288
470,13235.907679
471,13776.2701
472,14578.880443
473,11992.9084
474,12157.905313
475,15868.954164
476,12191.095304
477,13084.97397
478,17290.8601
479,12908.296166
480,13257.221572
481,17017.19379
482,12732.270042
483,12962.149908
484,16502.156283
485,12210.410825
486,12418.817574
487,17959.479527
488,15663.403027
489,14611.905143
490,12758.326072
491,10308.077233
492,8876.473271
493,7520.203687
494,7001.094323
495,7375.430429
496,5298.459796
497,6249.395814
498,8865.743811
499,6237.618079
500,6722.003179
501,8992.570529
502,6060.884033
503,6182.72023
504,8635.301997
505,7193.292831
506,9584.326072
