scenario id,scenario start time (P[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]),elapsed (hours),ENV:OUT(0) => cool_group:IN(0) [flow: ] (kW),ENV:OUT(0) => cool_group:IN(1) [flow: ] (kW),cool_group:OUT(0) => WASTE:IN(0) [flow: ] (kW),cool_group:OUT(1) => building_cooling:IN(0) [flow: chilled_water] (kW),cool_group:OUT(2) => WASTE:IN(0) [flow: ] (kW),diesel_group:OUT(0) => elec_group:IN(0) [flow: diesel] (kW),diesel_group:OUT(1) => heat_group:IN(0) [flow: diesel] (kW),elec_group:OUT(0) => WASTE:IN(0) [flow: ] (kW),elec_group:OUT(1) => WASTE:IN(0) [flow: ] (kW),elec_group:OUT(2) => cool_group:IN(2) [flow: electricity] (kW),elec_group:OUT(3) => cool_group:IN(3) [flow: electricity] (kW),elec_group:OUT(4) => electric_pump:IN(0) [flow: electricity] (kW),elec_group:OUT(5) => building_electrical:IN(0) [flow: electricity] (kW),elec_group:OUT(6) => WASTE:IN(0) [flow: ] (kW),electric_utility:OUT(0) => elec_group:IN(1) [flow: electricity] (kW),gas_group:OUT(0) => elec_group:IN(2) [flow: electricity] (kW),gas_group:OUT(1) => heat_group:IN(1) [flow: heating] (kW),gas_group:OUT(2) => WASTE:IN(0) [flow: ] (kW),gas_group:OUT(3) => heat_group:IN(2) [flow: heating] (kW),gas_group:OUT(4) => WASTE:IN(0) [flow: ] (kW),heat_group:OUT(0) => WASTE:IN(0) [flow: ] (kW),heat_group:OUT(1) => building_heating:IN(0) [flow: heating] (kW),natural_gas_utility:OUT(0) => gas_group:IN(0) [flow: natural_gas] (kW),REQUEST:ENV:OUT(0) => cool_group:IN(0) [flow: ] (kW),REQUEST:ENV:OUT(0) => cool_group:IN(1) [flow: ] (kW),REQUEST:cool_group:OUT(0) => WASTE:IN(0) [flow: ] (kW),REQUEST:cool_group:OUT(1) => building_cooling:IN(0) [flow: chilled_water] (kW),REQUEST:cool_group:OUT(2) => WASTE:IN(0) [flow: ] (kW),REQUEST:diesel_group:OUT(0) => elec_group:IN(0) [flow: diesel] (kW),REQUEST:diesel_group:OUT(1) => heat_group:IN(0) [flow: diesel] (kW),REQUEST:elec_group:OUT(0) => WASTE:IN(0) [flow: ] (kW),REQUEST:elec_group:OUT(1) => WASTE:IN(0) [flow: ] (kW),REQUEST:elec_group:OUT(2) => cool_group:IN(2) [flow: electricity] (kW),REQUEST:elec_group:OUT(3) => cool_group:IN(3) [flow: electricity] (kW),REQUEST:elec_group:OUT(4) => electric_pump:IN(0) [flow: electricity] (kW),REQUEST:elec_group:OUT(5) => building_electrical:IN(0) [flow: electricity] (kW),REQUEST:elec_group:OUT(6) => WASTE:IN(0) [flow: ] (kW),REQUEST:electric_utility:OUT(0) => elec_group:IN(1) [flow: electricity] (kW),REQUEST:gas_group:OUT(0) => elec_group:IN(2) [flow: electricity] (kW),REQUEST:gas_group:OUT(1) => heat_group:IN(1) [flow: heating] (kW),REQUEST:gas_group:OUT(2) => WASTE:IN(0) [flow: ] (kW),REQUEST:gas_group:OUT(3) => heat_group:IN(2) [flow: heating] (kW),REQUEST:gas_group:OUT(4) => WASTE:IN(0) [flow: ] (kW),REQUEST:heat_group:OUT(0) => WASTE:IN(0) [flow: ] (kW),REQUEST:heat_group:OUT(1) => building_heating:IN(0) [flow: heating] (kW),REQUEST:natural_gas_utility:OUT(0) => gas_group:IN(0) [flow: natural_gas] (kW),AVAILABLE:ENV:OUT(0) => cool_group:IN(0) [flow: ] (kW),AVAILABLE:ENV:OUT(0) => cool_group:IN(1) [flow: ] (kW),AVAILABLE:cool_group:OUT(0) => WASTE:IN(0) [flow: ] (kW),AVAILABLE:cool_group:OUT(1) => building_cooling:IN(0) [flow: chilled_water] (kW),AVAILABLE:cool_group:OUT(2) => WASTE:IN(0) [flow: ] (kW),AVAILABLE:diesel_group:OUT(0) => elec_group:IN(0) [flow: diesel] (kW),AVAILABLE:diesel_group:OUT(1) => heat_group:IN(0) [flow: diesel] (kW),AVAILABLE:elec_group:OUT(0) => WASTE:IN(0) [flow: ] (kW),AVAILABLE:elec_group:OUT(1) => WASTE:IN(0) [flow: ] (kW),AVAILABLE:elec_group:OUT(2) => cool_group:IN(2) [flow: electricity] (kW),AVAILABLE:elec_group:OUT(3) => cool_group:IN(3) [flow: electricity] (kW),AVAILABLE:elec_group:OUT(4) => electric_pump:IN(0) [flow: electricity] (kW),AVAILABLE:elec_group:OUT(5) => building_electrical:IN(0) [flow: electricity] (kW),AVAILABLE:elec_group:OUT(6) => WASTE:IN(0) [flow: ] (kW),AVAILABLE:electric_utility:OUT(0) => elec_group:IN(1) [flow: electricity] (kW),AVAILABLE:gas_group:OUT(0) => elec_group:IN(2) [flow: electricity] (kW),AVAILABLE:gas_group:OUT(1) => heat_group:IN(1) [flow: heating] (kW),AVAILABLE:gas_group:OUT(2) => WASTE:IN(0) [flow: ] (kW),AVAILABLE:gas_group:OUT(3) => heat_group:IN(2) [flow: heating] (kW),AVAILABLE:gas_group:OUT(4) => WASTE:IN(0) [flow: ] (kW),AVAILABLE:heat_group:OUT(0) => WASTE:IN(0) [flow: ] (kW),AVAILABLE:heat_group:OUT(1) => building_heating:IN(0) [flow: heating] (kW),AVAILABLE:natural_gas_utility:OUT(0) => gas_group:IN(0) [flow: natural_gas] (kW),Stored: elec_group(battery) (kJ),Stored: diesel_group(diesel_fuel_tank) (kJ),SOC: elec_group(battery),SOC: diesel_group(diesel_fuel_tank),op-state: elec_group(automated_transfer_switch),op-state: cool_group(backup_chiller),op-state: elec_group(backup_generator),op-state: elec_group(battery),op-state: building_cooling,op-state: building_electrical,op-state: building_heating,op-state: cool_group(chilled_water_junction),op-state: heat_group(diesel_fired_heater),op-state: diesel_group(diesel_fuel_router),op-state: diesel_group(diesel_fuel_tank),op-state: elec_group(electric_bus0),op-state: elec_group(electric_bus1),op-state: electric_pump,op-state: electric_utility,op-state: heat_group(heating_manifold),op-state: cool_group(main_chiller),op-state: gas_group(natural_gas_turbine),op-state: natural_gas_utility,op-state: gas_group(ng_fired_heater),op-state: gas_group(ng_fuel_router),op-state: elec_group(power_lines),op-state: elec_group(pv_array)
blue_sky,P0000-00-00T00:00:00,8.000,72.4,73.7,0,220.6,0,0,0,0,0.5,26.3,48.2,10,127.5,454.7,0,0,0,0,17.9,1.1,0,17.9,19,72.4,73.7,0,220.6,0,0,0,0,0.5,26.3,48.2,10,127.5,454.7,0,0,17.9,0,17.9,1.1,0,17.9,19,72.4,73.7,0,220.6,0,20,0,0,0.5,26.3,48.2,10,733.5,454.7,100,500,0,0,17.9,1.1,0,17.9,1000,16200.000,14400000.000,0.225,1.000,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,9.000,72.2,73.7,0,220.3,0,0,0,0,0.5,26.3,48.1,10,135.8,1040.7,0,0,0,0,23.4,1.5,0,23.4,24.9,72.2,73.7,0,220.3,0,0,0,0,0.5,26.3,48.1,10,135.8,1040.7,0,0,23.4,0,23.4,1.5,0,23.4,24.9,72.2,73.7,0,220.3,0,20,0,0,0.5,26.3,48.1,10,741.8,1040.7,100,500,0,0,23.4,1.5,0,23.4,1000,32400.000,14400000.000,0.450,1.000,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,10.000,71.7,73.7,0,219.5,0,0,0,0,0.5,26.3,47.8,10,95.2,1398.9,0,0,0,0,16.4,1,0,16.4,17.5,71.7,73.7,0,219.5,0,0,0,0,0.5,26.3,47.8,10,95.2,1398.9,0,0,16.4,0,16.4,1,0,16.4,17.5,71.7,73.7,0,219.5,0,20,0,0,0.5,26.3,47.8,10,701.2,1398.9,100,500,0,0,16.4,1,0,16.4,1000,48600.000,14400000.000,0.675,1.000,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,11.000,72.2,73.7,0,220.4,0,0,0,0,0,26.3,48.2,10,107.6,1641.6,0,0,0,0,18.8,1.2,0,18.8,20,72.2,73.7,0,220.4,0,0,0,0,0,26.3,48.2,10,107.6,1641.6,0,0,18.8,0,18.8,1.2,0,18.8,20,72.2,73.7,0,220.4,0,20,0,0,0,26.3,48.2,10,713.6,1641.6,100,500,0,0,18.8,1.2,0,18.8,1000,64800.000,14400000.000,0.900,1.000,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,12.000,72.2,73.7,0,220.4,0,0,0,0,0,26.3,48.2,10,81.2,1757.2,0,0,0,0,14.4,0.9,0,14.4,15.3,72.2,73.7,0,220.4,0,0,0,0,0,26.3,48.2,10,81.2,1757.2,0,0,14.4,0,14.4,0.9,0,14.4,15.3,72.2,73.7,0,220.4,0,20,0,0,0,26.3,48.2,10,687.2,1757.2,100,500,0,0,14.4,0.9,0,14.4,1000,64800.000,14400000.000,0.900,1.000,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,13.000,71.6,73.7,0,219.4,0,0,0,0,0,26.3,47.8,10,98.9,1566.4,0,0,0,0,16.1,1,0,16.1,17.1,71.6,73.7,0,219.4,0,0,0,0,0,26.3,47.8,10,98.9,1566.4,0,0,16.1,0,16.1,1,0,16.1,17.1,71.6,73.7,0,219.4,0,20,0,0,0,26.3,47.8,10,704.9,1566.4,100,500,0,0,16.1,1,0,16.1,1000,64800.000,14400000.000,0.900,1.000,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,14.000,72.2,73.7,0,220.4,0,0,0,0,0,26.3,48.2,10,80.1,830.1,0,0,0,0,10.6,0.7,0,10.6,11.2,72.2,73.7,0,220.4,0,0,0,0,0,26.3,48.2,10,80.1,830.1,0,0,10.6,0,10.6,0.7,0,10.6,11.2,72.2,73.7,0,220.4,0,20,0,0,0,26.3,48.2,10,686.1,830.1,100,500,0,0,10.6,0.7,0,10.6,1000,64800.000,14400000.000,0.900,1.000,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,15.000,72.2,73.7,0,220.4,0,0,0,0,0,26.3,48.2,10,97.2,286.7,0,0,0,0,13.8,0.9,0,13.8,14.7,72.2,73.7,0,220.4,0,0,0,0,0,26.3,48.2,10,97.2,286.7,0,0,13.8,0,13.8,0.9,0,13.8,14.7,72.2,73.7,0,220.4,0,20,0,0,0,26.3,48.2,10,703.2,286.7,100,500,0,0,13.8,0.9,0,13.8,1000,64800.000,14400000.000,0.900,1.000,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,16.000,71.6,73.7,0,219.4,0,0,0,0,0,26.3,47.8,10,81,0,0,145.1,9.4,313.4,0,0,0,9.4,467.9,71.6,73.7,0,219.4,0,0,0,0,0,26.3,47.8,10,81,0,0,145.1,9.4,313.4,0,0,0,9.4,467.9,71.6,73.7,0,219.4,0,20,0,0,0,26.3,47.8,10,441.9,0,100,500,322.8,313.4,0,0,0,322.8,1000,64800.000,14400000.000,0.900,1.000,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,16.100,71.6,73.7,0,219.4,0,0,0,0,0,26.3,47.8,10,81,0,100,65.1,9.4,205.5,0,0,0,9.4,280.1,71.6,73.7,0,219.4,0,0,0,0,0,26.3,47.8,10,81,0,165.1,65.1,9.4,205.5,0,0,0,9.4,280.1,71.6,73.7,0,219.4,0,20,0,0,0,26.3,47.8,10,521.9,0,100,500,214.9,205.5,0,0,0,214.9,1000,57600.000,14400000.000,0.800,1.000,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available,available
