scenario id,scenario start time (P[YYYY]-[MM]-[DD]T[hh]:[mm]:[ss]),elapsed (hours),cool_group:OUT(1) => building_cooling:IN(0) [flow: chilled_water] (kW),elec_group:OUT(1) => WASTE:IN(0) [flow: ] (kW),elec_group:OUT(2) => cool_group:IN(2) [flow: electricity] (kW),elec_group:OUT(3) => cool_group:IN(3) [flow: electricity] (kW),elec_group:OUT(4) => electric_pump:IN(0) [flow: electricity] (kW),elec_group:OUT(5) => building_electrical:IN(0) [flow: electricity] (kW),elec_group:OUT(6) => WASTE:IN(0) [flow: ] (kW),electric_utility:OUT(0) => elec_group:IN(1) [flow: electricity] (kW),gas_group:OUT(0) => elec_group:IN(2) [flow: electricity] (kW),heat_group:OUT(1) => building_heating:IN(0) [flow: heating] (kW),REQUEST:cool_group:OUT(1) => building_cooling:IN(0) [flow: chilled_water] (kW),REQUEST:elec_group:OUT(1) => WASTE:IN(0) [flow: ] (kW),REQUEST:elec_group:OUT(2) => cool_group:IN(2) [flow: electricity] (kW),REQUEST:elec_group:OUT(3) => cool_group:IN(3) [flow: electricity] (kW),REQUEST:elec_group:OUT(4) => electric_pump:IN(0) [flow: electricity] (kW),REQUEST:elec_group:OUT(5) => building_electrical:IN(0) [flow: electricity] (kW),REQUEST:elec_group:OUT(6) => WASTE:IN(0) [flow: ] (kW),REQUEST:electric_utility:OUT(0) => elec_group:IN(1) [flow: electricity] (kW),REQUEST:gas_group:OUT(0) => elec_group:IN(2) [flow: electricity] (kW),REQUEST:heat_group:OUT(1) => building_heating:IN(0) [flow: heating] (kW),AVAILABLE:cool_group:OUT(1) => building_cooling:IN(0) [flow: chilled_water] (kW),AVAILABLE:elec_group:OUT(1) => WASTE:IN(0) [flow: ] (kW),AVAILABLE:elec_group:OUT(2) => cool_group:IN(2) [flow: electricity] (kW),AVAILABLE:elec_group:OUT(3) => cool_group:IN(3) [flow: electricity] (kW),AVAILABLE:elec_group:OUT(4) => electric_pump:IN(0) [flow: electricity] (kW),AVAILABLE:elec_group:OUT(5) => building_electrical:IN(0) [flow: electricity] (kW),AVAILABLE:elec_group:OUT(6) => WASTE:IN(0) [flow: ] (kW),AVAILABLE:electric_utility:OUT(0) => elec_group:IN(1) [flow: electricity] (kW),AVAILABLE:gas_group:OUT(0) => elec_group:IN(2) [flow: electricity] (kW),AVAILABLE:heat_group:OUT(1) => building_heating:IN(0) [flow: heating] (kW),Stored: diesel_group(diesel_fuel_tank) (kJ),SOC: diesel_group(diesel_fuel_tank),op-state: elec_group(automated_transfer_switch),op-state: elec_group(battery),op-state: building_cooling,op-state: building_electrical,op-state: building_heating,op-state: elec_group(electric_bus0),op-state: elec_group(electric_bus1),op-state: electric_pump,op-state: electric_utility,op-state: elec_group(power_lines),op-state: elec_group(pv_array)
blue_sky,P0000-00-00T00:00:00,9.000,220.3,0.5,26.3,48.1,10,135.8,1040.7,0,0,23.4,220.3,0.5,26.3,48.1,10,135.8,1040.7,0,0,23.4,220.3,0.5,26.3,48.1,10,741.8,1040.7,100,500,23.4,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,10.000,219.5,0.5,26.3,47.8,10,95.2,1398.9,0,0,16.4,219.5,0.5,26.3,47.8,10,95.2,1398.9,0,0,16.4,219.5,0.5,26.3,47.8,10,701.2,1398.9,100,500,16.4,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,11.000,220.4,0,26.3,48.2,10,107.6,1641.6,0,0,18.8,220.4,0,26.3,48.2,10,107.6,1641.6,0,0,18.8,220.4,0,26.3,48.2,10,713.6,1641.6,100,500,18.8,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,12.000,220.4,0,26.3,48.2,10,81.2,1757.2,0,0,14.4,220.4,0,26.3,48.2,10,81.2,1757.2,0,0,14.4,220.4,0,26.3,48.2,10,687.2,1757.2,100,500,14.4,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,13.000,219.4,0,26.3,47.8,10,98.9,1566.4,0,0,16.1,219.4,0,26.3,47.8,10,98.9,1566.4,0,0,16.1,219.4,0,26.3,47.8,10,704.9,1566.4,100,500,16.1,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,14.000,220.4,0,26.3,48.2,10,80.1,830.1,0,0,10.6,220.4,0,26.3,48.2,10,80.1,830.1,0,0,10.6,220.4,0,26.3,48.2,10,686.1,830.1,100,500,10.6,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,15.000,220.4,0,26.3,48.2,10,97.2,286.7,0,0,13.8,220.4,0,26.3,48.2,10,97.2,286.7,0,0,13.8,220.4,0,26.3,48.2,10,703.2,286.7,100,500,13.8,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,16.000,219.4,0,26.3,47.8,10,81,0,0,145.1,9.4,219.4,0,26.3,47.8,10,81,0,0,145.1,9.4,219.4,0,26.3,47.8,10,441.9,0,100,500,322.8,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,16.100,219.4,0,26.3,47.8,10,81,0,100,65.1,9.4,219.4,0,26.3,47.8,10,81,0,165.1,65.1,9.4,219.4,0,26.3,47.8,10,521.9,0,100,500,214.9,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
blue_sky,P0000-00-00T00:00:00,17.000,220.4,0,26.3,48.2,10,114.3,0,0,178.8,13.2,220.4,0,26.3,48.2,10,114.3,0,0,178.8,13.2,220.4,0,26.3,48.2,10,441.5,0,100,500,324.8,14400000.000,1.000,available,available,available,available,available,available,available,available,available,available,available
