scenario id,occurrence number,duration (h),total source (kJ),total load (kJ),total storage (kJ),total waste (kJ),energy balance (source-(load+storage+waste)) (kJ),site efficiency,uptime (h),downtime (h),load not served (kJ),energy robustness [ER],energy availability [EA],max single event downtime [MaxSEDT] (h),global availability,energy robustness [ER] for chilled_water,energy availability [EA] for chilled_water,energy robustness [ER] for electricity,energy availability [EA] for electricity,energy robustness [ER] for heating,energy availability [EA] for heating,energy robustness [ER] for building_cooling [flow: chilled_water],energy availability [EA] for building_cooling [flow: chilled_water],energy robustness [ER] for building_electrical [flow: electricity],energy availability [EA] for building_electrical [flow: electricity],energy robustness [ER] for building_heating [flow: heating],energy availability [EA] for building_heating [flow: heating],energy robustness [ER] for electric_pump [flow: electricity],energy availability [EA] for electric_pump [flow: electricity],load not served (kJ) for building_cooling [flow: chilled_water],load not served (kJ) for building_electrical [flow: electricity],load not served (kJ) for building_heating [flow: heating],load not served (kJ) for electric_pump [flow: electricity],load requested (kJ) for building_cooling [flow: chilled_water],load requested (kJ) for building_electrical [flow: electricity],load requested (kJ) for building_heating [flow: heating],load requested (kJ) for electric_pump [flow: electricity],fuel input (kJ) for electric_utility [flow: electricity],fuel input (kJ) for natural_gas_utility [flow: natural_gas],fuel input (kJ) for pv_array [flow: electricity],availability: automated_transfer_switch,availability: backup_chiller,availability: backup_generator,availability: battery,availability: building_cooling,availability: building_electrical,availability: building_heating,availability: chilled_water_junction,availability: diesel_fired_heater,availability: diesel_fuel_router,availability: diesel_fuel_tank,availability: electric_bus0,availability: electric_bus1,availability: electric_pump,availability: electric_utility,availability: heating_manifold,availability: main_chiller,availability: natural_gas_turbine,availability: natural_gas_utility,availability: ng_fired_heater,availability: ng_fuel_router,availability: power_lines,availability: pv_array
blue_sky,1,48,192777710,104912309,-288000,88153402,-0,0.713659,45,3,1.06058e+07,0.908189,0.9375,2,1,0.873864,0.9375,0.996283,0.9375,1,1,0.873864,0.9375,1,1,1,1,0.9375,0.9375,10497827,0,0,108000,83226467,27327895,3235774,1728000,0,71102880,25840419,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
hurricane,1,48,192777710,104912309,-288000,88153402,-0,0.713659,45,3,1.06058e+07,0.908189,0.9375,2,1,0.873864,0.9375,0.996283,0.9375,1,1,0.873864,0.9375,1,1,1,1,0.9375,0.9375,10497827,0,0,108000,83226467,27327895,3235774,1728000,0,71102880,25840419,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
